author_id,author_name
1,Peter A. C. `t Hoen
2,R. P. Ahern
3,Fatina Awad
4,Rolf Aaberge
5,Peter Aaby
6,David M. Aadland
7,Odd Aalen
8,Sondre Aanes
9,Leon Aarons
10,Jon Aaronson
11,Neil K. Aaronson
12,Magne Vollan Aarset
13,Lucie Aarts
14,Kjersti Aas
15,Knut K. Aase
16,Jesper M. Aaslyng
17,Arnstein Aassve
18,A. H. Aastveit
19,D. A. Ababei
20,Miguel Abadi
21,Alberto Abadie
22,Karim M. Abadir
23,József Abaffy
24,Andris Abakuks
25,Eva Abal
26,Inmaculada Aban
27,Carlos A. Abanto-valle
28,B. Abapihi
29,Taraneh Abarin
30,Elena Abascal Fernández
31,B. Abassi
32,Alessandro Abate
33,Joseph F. Abate
34,Efren F Abaya
35,Kobi Abayomi
36,Kamran Abbas
37,Nasir 1 Abbas
38,Nasir 2 Abbas
39,Babak Abbasi
40,Ibrahim Abbasi
41,Somayyeh Abbasi
42,M. Abbasnejad
43,Mohammad Abbaszadeh
44,Pieter Abbeel
45,D. Abbott
46,Owen Abbott
47,Robert D. Abbott
48,Jaap H. Abbring
49,Nagi S. Abd-el-hakim
50,Ehab Abd-elfattah
51,Ahmed H. Abd-ellah
52,Gamal A. Abd-elmougod
53,N. Y. Abd Al-wahab
54,A. Ahmad Abd El-baset
55,G. H. Abd El-monem
56,M. M. E. Abd El-monsef
57,Nadia Abdala
58,Abdel Abdali
59,Mona Abdalla
60,Y. Abdel-aty
61,Abdalla A. Abdel-ghaly
62,Magda M. Abdel-ghani
63,Mohamed S. Abdel-hameed
64,Alaa H. Abdel-hamid
65,Abdel-salam G. Abdel-salam
66,A. A. Abdel-wahid
67,A. R. Abdel-wahid
68,K. M. Abdelbasit
69,Sami Naguib Abdelhamid
70,Yousry H. Abdelkader
71,Zahia Abdelli
72,Ibrahim Abdelrazeq
73,Hervé Abdi
74,Mohamed Abdolell
75,Belkacem Abdous
76,K. I. Abdul-al
77,Husein Abdul-hamid
78,Rafid S. Abdul-razak
79,E. I. Abdul-sathar
80,Mat Yusoff Abdullah
81,Mokhtar B. Abdullah
82,A. A. Abdushukurov
83,Katsuyuki Abe
84,Toshihiro Abe
85,Yoshihiro Abe
86,Asheber Abebe
87,Haftom T. Abebe
88,M. Abed
89,Thomas Abeel
90,Fentaw Abegaz
91,Guy Abel
92,Laurent Abel
93,R. Julian R. Abel
94,Ulrich Abel
95,Volker Abel
96,Yvon Abel
97,J. J. Abellán
98,Joaquín Abellán
99,Rosa Abellana
100,Manuel Abellanas
101,Sofia Åberg
102,J. R. Abernathy
103,Roger Abernathy
104,Jacob Abernethy
105,Savitri Abeyasekera
106,N. R. Abeynayake
107,Waruni Abeysekera
108,Kamal Abeywickrama
109,Shreeram S. Abhyankar
110,A. D. Abid
111,Victor Abkevich
112,Janis Abkowitz
113,Christian C. Abnet
114,Z. A. Abo-eleneen
115,Lev M. Abolnikov
116,Zsolt Abonyi-tóth
117,Naser A. Abou-elheggag
118,E. D. Abou Elela
119,A. Abouammoh
120,M. A. F. Aboukalam
121,S. M. Aboukhamseen
122,John M. Abowd
123,Bovas Abraham
124,Christophe Abraham
125,Linn Abraham
126,Maria Abraham
127,Romain Abraham
128,Michal Abrahamowicz
129,Julia Abrahams
130,Trine Julie Abrahamsen
131,Patrick F. Abrami
132,Felix Abramovich
133,Yuri I. Abramovich
134,Lavy Abramovitch
135,K. Abramowicz
136,Allyson Abrams
137,Donald I. Abrams
138,Keith R. Abrams
139,R. M. Abrams
140,Steven Abrams
141,Ian Abramson
142,Joshua Abramson
143,Jason Abrevaya
144,David Abrial
145,Patrice Abry
146,P. -a. Absil
147,Klaus Abt
148,Markus Abt
149,Emad Abu-assi
150,Walid A. Abu-dayyeh
151,Muhammad Abu-salih
152,Reman Abu-shanab
153,S. E. Abu-youssef
154,Raed R. K. Abu Awwad
155,Mansour M. Abughalous
156,Muazu R. Abujiya
157,Ajierguli Abula
158,Hasan Abulibdeh
159,Mario Abundo
160,Elif F. Acar
161,Tuğba Söküt Açar
162,Tülin Acar
163,Umut A. Acar
164,L. Accardi
165,Felix A. Achana
166,S. K. Acharya
167,Achilleas Achilleos
168,Marcel Achkar
169,Juul Achten
170,Aristide C. Achy-brou
171,Laura Acion
172,Sukru Acitas
173,Diana Ackermann
174,Hanns Ackermann
175,Ursula Ackermannliebrich
176,Lynn M. Ackerson
177,Cesar A. Acosta-mejia
178,A D Acosta
179,Edward P. Acosta
180,S. K. Acuff
181,Carlos Acuña
182,Carmen O. Acuña
