source,target
Satish K. Agarwal,Jamal A. Al-saleh
Mohamed Alosh,Abdulhamid A. Alzaid
Felix Abramovich,Claudia Angelini
F. J. Alonso,José M. Angulo
José M. Angulo,Vo Anh
Umberto Amato,Anestis Antoniadis
M. Abbasnejad,Nasser Reza Arghami
Jafar Ahmadi,Nasser Reza Arghami
Michael Akritas,Steven Arnold
Kevin K. Anderson,Krishna B. Athreya
Emilia Athayde,Cecilia Azevedo
Reinaldo B. Arellano-valle,Adelchi Azzalini
Gutti Jogesh Babu,Zhidong Bai
Rita Aggarwala,Narayanaswamy Balakrishnan
Jafar Ahmadi,Narayanaswamy Balakrishnan
Mohammad Ahsanullah,Narayanaswamy Balakrishnan
Narayanaswamy Balakrishnan,K. Balasubramanian
Silvia Bacci,Francesco Bartolucci
Narayanaswamy Balakrishnan,Indrani Basak
Indrani Basak,Prasanta Basak
Martin Barlow,Richard Bass
Ayanendranath Basu,Srabashi Basu
Mohammad Arashi,A. Bekker
Xinming An,Peter M. Bentler
M. J. Bayarri,James Berger
Peter M. Bentler,Maia Berkane
James Berger,L. Mark Berliner
James Berger,José M. Bernardo
Judith D. Bebchuk,Rebecca Betensky
Marc Aerts,Philippe Beutels
Ayanendranath Basu,Subir K. Bhandari
S. S. Alam,Subarna Bhattacharjee
Anup Amatya,Dulal Bhaumik
Subhash Aryal,Dulal Bhaumik
Alain Berlinet,Gérard Biau
Anestis Antoniadis,Jérémie Bigot
Ole Barndorff-nielsen,Preben Blæsild
Juan Lucas Bali,Graciela Boente
Ana Bianco,Graciela Boente
M. Fazil Baksh,Dankmar Böhning
Annibale Biggeri,Dankmar Böhning
Jorge Alberto Achcar,Heleno Bolfarine
Reinaldo B. Arellano-valle,Heleno Bolfarine
Odd Aalen,Ørnulf Borgan
Narayanaswamy Balakrishnan,Patrick Borges
Peter Boatwright,Sharad Borle
Lúcia P. Barroso,Denise A. Botter
Shaul K. Bar-lev,Benzion Boukai
Arup Bose,Benzion Boukai
Adelchi Azzalini,Adrian Bowman
Mitchum T. Bock,Adrian Bowman
Reinaldo B. Arellano-valle,Márcia D. Branco
Peter Bauer,Werner Brannath
Björn Bornkamp,Frank Bretz
Werner Brannath,Frank Bretz
Ishwar Basawa,Peter Brockwell
Louigi Addario-berry,Nicolas Broutin
Peter Bickel,Ben Brown
Robert Berk,Lawrence 1 Brown
Dennis Boos,Cavell Brownie
Charles Bouveyron,Camille Brunet-saumard
Michael Akritas,Edgar Brunner
Shaul K. Bar-lev,Daoud Bshouty
David Borchers,Stephen T. Buckland
F. J. Alonso,M. C. Bueso
José M. Angulo,M. C. Bueso
Noriah M. Al-kandari,Sana Buhamra
Burcu Aydin,Elizabeth Bullitt
Richard Bass,Krzysztof Burdzy
Ariel Alonso,Tomasz Burzykowski
Ehab Abd-elfattah,Ronald Butler
James Booth,Ronald Butler
Douglas A. Bronson,Ronald Butler
Ariel Alonso,Marc Buyse
Tomasz Burzykowski,Marc Buyse
Mayer Alvo,Paul Cabilio
Carlos Acuña,Carmen Cadarso-suárez
Christophe Abraham,Benoît Cadre
Gérard Biau,Benoît Cadre
James Booth,Brian Caffo
Lawrence 1 Brown,Tony Cai
Rebecca Betensky,J. Gregory Cairncross
A. E. Ades,D. M. Caldwell
Gladys D. Cacsire Barriga,Vicente G. Cancho
Adelchi Azzalini,Antonella Capitanio
Charles Bordenave,Pietro Caputo
José R. Berrendero,Javier Cárcamo
Sudipto Banerjee,Bradley Carlin
Narayanaswamy Balakrishnan,Francisco J. Caro-lopera
Jonathan W. Bartlett,James Carpenter
Tatiyana Apanasovich,Raymond Carroll
Veerabhadran Baladandayuthapani,Raymond Carroll
Dennis W. Buckman,Raymond Carroll
Shaheena Bashir,E. M. Carter
Larry J. Brant,Herbert B. Carter
Steve 1 Brooks,E. A. Catchpole
Christophe Biernacki,Gilles Celeux
Hervé Cardot,Peggy Cénac
Anthony C. Atkinson,Andrea Cerioli
Gérard Ben Arous,Jiří Černý
Kwang Woo Ahn,Kung Sik Chan
Narayanaswamy Balakrishnan,Ping Shing Chan
Ray Chambers,Hukum Chandra
Narayanaswamy Balakrishnan,B. Chandrasekar
Raymond Carroll,Robert S. Chapkin
Jacques Benichou,Claude Chastang
Raymond Carroll,Nilanjan Chatterjee
Arup Bose,Snigdhansu Chatterjee
Manzoor Ahmad,Yogendra P. Chaubey
Gutti Jogesh Babu,Yogendra P. Chaubey
Arun Kumar Adhikary,Arijit Chaudhuri
